Predicate,Number
isEmployedBy,1
hadAffectedPerson,1
hasFourthElement,1
wasSelectedInEvent,1
framenet,1
wasCreatedDuring,1
hadAgentHelped,1
wasaCustomerOf,1
canEmit,1
wasaResponseToEvent,1
hasMinimumValue,1
isWithinaFactorOfTwoOf,1
isaParticipantIn,1
hasMonetaryValue,1
hasPopulationAtTime,1
isOfferedByVendor,1
containsSubstance,1
hasThirdElement,1
naturallyProduces,1
wasAssistedBy,1
isaDramaticRoleOf,1
eventWithCauses,1
hasQuantitativeMeasure,1
worsens,1
hasQuantifierMaximum,1
hadTransferredItem,1
canBeConvertedInto,1
wasaVendorTo,1
fillsTheRoleOf,1
hasSolute,1
hasSpatialPartType,1
hasPrice,1
hasDensityMeasure,1
chinp,1
hasTimeInterval,1
wasEmittedByObject,1
isAnExecutionOf,1
isTheMainConstituentSubstanceOf,1
isaSubEventOf,1
hadNewborn,1
holdsAtLocation,1
hadMissingThing,1
isaFavoriteOfType,1
offeredPriceAppearsIn,1
wants,1
hasTelnoType,1
isTheEntity,1
hasComparativeAttribute,1
convincedAgentToAction,1
isaFavoriteOf,1
containsSymbolicObject,1
lex,1
createsObject,1
isWithinAnOrderOfMagnitudeOf,1
isAnAlternativeTo,1
isAnAttributeOfSomethingWithQuality,1
wasCreatedByEvent,1
invented,1
wasCreatedAtTheRequestOf,1
hadAgentInAgreement,1
hadObjectFound,1
isTheShapeOfa,1
hasAltitude,1
typicallyOccursInTimeIntervalType,1
hasMeltingPoint,1
occursAt,1
hadMother,1
hasPriceValue,1
isLargerThanBy,1
hasLimitValue,1
hasExecutionEvent,1
isLargerBy8than,1
ness,1
hasFacialHair,1
hadEvent,1
wasAliveDuring,1
expressesMeasure,1
isTheAttributeOfAnAnimalUnlikelyToUndergo,1
teaches,1
heats,1
objectHasAttributeAfter,1
hasHusband,1
hadConsumedObject,1
isDesignedToSupport,1
isDueToThePresenceOf,1
isLocatedAtOrOn,1
holdsInContext,1
isObtainedFrom,1
overlapsOrTouches,1
isTheAttributeOfSomethingInTheState,1
hadObjectCreated,1
