Predicate, number, Subject, Predicate, String,,,,,
superPropertyOf,208,biographicalOrHistoricalInformation,superPropertyOf,familyHistory,,,,,
isaSynonymOf,204,DyingEvent,isaSynonymOf,Death,,,,,
inverse,199,wasDerivedFrom,inverse,hadDerivation,,,,,
isReplacedBy,198,exampleDataset,isReplacedBy,dataset,,,,,
locatedIn,195,MendocinoRegion,locatedIn,CaliforniaRegion,,,,,
isAnAttributeOf,194,Lethal,isAnAttributeOf,PhysicalSituation,,,,,
path,193,OrConstraintComponent-or,path,or,,,,,
dm,189,alternateOf,dm,term-alternate,,,,,
correspondsTo,188,hasVitalLethalContact,correspondsTo,HasVitalLethalContact,,,,,
qualifiedForm,179,hadOriginalSource,qualifiedForm,Source,,,,,
closeMatch,171,TimeOrdinalReferenceSystem,closeMatch,OrdinalReferenceSystem,,,,,
unqualifiedForm,167,qualifiedDerivation,unqualifiedForm,wasDerivedFrom,,,,,
unitOf,165,DemiBrigade,unitOf,Brigade,,,,,
subAttribute,160,FederalParliamentaryDemocracy,subAttribute,FederalGovernment,,,,,
coverage,155,Series,coverage,world,,,,,
takesValue,145,MonetaryCost,takesValue,MoneyMeasure,,,,,
exactMatch,129,hasSubEvent,exactMatch,sub_event,,,,,
sharesDefinitionWith,111,hadRole,sharesDefinitionWith,Role,,,,,
names,110,Silicon,names,Silicon,,,,,
broaderTransitive,106,modify,broaderTransitive,use,,,,,
associatedTo,106,cool,associatedTo,CoolingCoil,,,,,
hasAcronym,106,RankPioneerArmyCanada,hasAcronym,PNR,,,,,
isTheAdverbialFormOf,103,fortunately,isTheAdverbialFormOf,Fortunate,,,,,
isLocatedAt,101,RhoneRiver,isLocatedAt,EuropeRegion,,,,,
isTheAttributeOfSomethingThatExperienced,101,Awakened,isTheAttributeOfSomethingThatExperienced,Awakening,,,,,
abstract,100,GMD_VAEM,abstract,"VAEM stands for ""Vocabulary for Attaching Essential Metadata"". What VAEM regards as essential metadata is data about dates and times",,,,,
constraints,100,Generation,constraints,prov-dm-constraints-fig,,,,,
isTheAttributeOfSomeoneFeeling,91,Jealous,isTheAttributeOfSomeoneFeeling,Jealousy,,,,,
hasStereotype,90,MeterMultiplierKind,hasStereotype,enumeration,,,,,
correspondsToInverse,88,hasFosterParent,correspondsToInverse,HasFosterChildParent,,,,,
external,83,document,external,Document,,,,,
bookmark,72,Taxonomy,bookmark,term_Taxonomy,,,,,
shortDescription,64,hasSteward,shortDescription,A pointer to the person that is a curator.,,,,,
isMoreIntenseThan,63,Fascinated,isMoreIntenseThan,Interested,,,,,
markdownDescription,62,houseColor,markdownDescription,I bet Im going to wish i could delete this,,,,,
class,58,Perceel_soortGrootte,class,Concept,,,,,
hasTopic,52,HistoricalFacts,hasTopic,History,,,,,
contrastsWith,40,National,contrastsWith,Local,,,,,
allowsFor,39,Contact,allowsFor,ReadContent,,,,,
specificPropertyOf,39,changes,specificPropertyOf,relation,,,,,
hasQualitativeAttribute,38,Toast,hasQualitativeAttribute,Toasted,,,,,
editorsDefinition,29,EntityInfluence,editorsDefinition,EntityInfluence provides additional descriptions of an Entitys binary influence upon any other kind of resource. Instances of EntityInfluence use the prov:entity property to cite the influencing Entity.,,,,,
labelTemplate,27,MissingLiteralsAndProperties,labelTemplate,Property {?arg2} is mandatory and must not contain empty literals for instances of class {?arg1}!,,,,,
derivesFrom,27,millimeter,derivesFrom,meter,,,,,
term,26,chapter,term,chapter,,,,,
wasInfluencedBy,25,Dimension,wasInfluencedBy,Dimensional_analysis,,,,,
hasShape,25,GranularSubstance,hasShape,Granular,,,,,
sub-area-of,19,Information-Extraction,sub-area-of,Language-Engineering,,,,,
targetClass,19,Geometry,targetClass,Geometry,,,,,
isPerformedByAgent,19,MagicTrick,isPerformedByAgent,Magician,,,,,
hasAdverbialForm,19,Intentional,hasAdverbialForm,Deliberately,,,,,
consistsOfManyOf,19,TableSugar,consistsOfManyOf,GrainOfSugar,,,,,
isPreparedFromSubstance,18,Cheese,isPreparedFromSubstance,Milk,,,,,
isaSubOrganizationOf,18,DepartmentOfAgriculture,isaSubOrganizationOf,GovernmentOfTheUSA,,,,,
hasObjectType,18,TwoShells,hasObjectType,AnimalShell,,,,,
Definition,17,RRPolicy,Definition,Any mechanism designed for relating to RRObject for reusing purposes is defined as a Reusing Related Policy (RRPolicy). RRPolicy is free to be extended for more issues such as security and trust for its subclasses concepts.,,,,,
isEmittedBy,17,MewingSound,isEmittedBy,Cat,,,,,
believes,17,Shintoists,believes,Shinto,,,,,
isTheAttributeOfSomeoneWithTrait,17,Impudent,isTheAttributeOfSomeoneWithTrait,Impudence,,,,,
isDesignedToCover,17,Eyelid,isDesignedToCover,Eye,,,,,
isProducedNaturallyBy,17,Hair,isProducedNaturallyBy,Mammal,,,,,
isaValueOf,16,Heterogeneous,isaValueOf,HeterogeneityAttribute,,,,,
isLessIntenseThan,16,Moderate,isLessIntenseThan,Intense,,,,,
isanIntensiveFormOf,15,Anxiety,isanIntensiveFormOf,Concern,,,,,
isTheAttributeOfSomethingThatCanUndergo,15,Deformable,isTheAttributeOfSomethingThatCanUndergo,Deforming,,,,,
subObjectPropertyOf,14,issn,subObjectPropertyOf,identifier,,,,,
